Time Stamp,CAPITL,CENTRL,DUNWOD,GENESE,HUD VL,LONGIL,MHK VL,MILLWD,N.Y.C.,NORTH,WEST,total_load
2021-01-01 05:00:00+00:00,1229.7658285714285,1652.0642285714287,601.43465,980.77085,1001.9627142857142,2061.0668214285715,841.0688285714286,319.4100714285714,4808.552935714286,635.8141642857144,1525.1744,15657.085492857143
2021-01-01 06:00:00+00:00,1199.7647833333333,1606.5128583333333,579.0895833333333,934.2670750000001,960.8582666666666,1946.4597833333335,807.607275,307.96905,4631.978808333333,633.3403583333334,1473.8272166666666,15081.675058333332
2021-01-01 07:00:00+00:00,1172.361075,1578.67145,559.8617,913.3830166666667,936.2917166666666,1855.8495666666668,796.2522416666667,301.2649833333333,4486.644666666666,617.9379250000001,1435.5014083333333,14654.019750000001
2021-01-01 08:00:00+00:00,1164.4619666666667,1556.8628416666668,548.7997916666667,901.1669666666667,916.9327499999999,1797.270625,794.2057500000001,295.2696416666667,4372.209041666667,615.7135333333333,1417.3982166666667,14380.291125
2021-01-01 09:00:00+00:00,1177.303475,1561.6280916666667,545.1714083333333,898.9995166666666,915.3553166666667,1791.2210000000002,798.5522500000001,295.5074416666667,4336.574433333333,615.4660416666667,1419.7294833333333,14355.508458333334
2021-01-01 10:00:00+00:00,1207.2011416666667,1595.6794499999999,541.7046916666667,927.54055,937.866275,1814.100475,813.4438749999999,300.6294833333333,4387.4138416666665,615.9305166666667,1426.9059416666666,14568.416241666668
2021-01-01 11:00:00+00:00,1244.6934416666666,1646.6907666666666,554.0309083333333,959.7148333333333,962.5115166666666,1858.0610666666664,846.0135166666668,315.452425,4488.121,627.6513,1460.0372916666665,14962.978066666663
2021-01-01 12:00:00+00:00,1276.7685166666668,1693.7209833333334,566.1258,986.364,986.944275,1889.9742083333333,875.6113333333333,318.758675,4576.4916416666665,631.7184333333333,1494.85805,15297.335916666667
2021-01-01 13:00:00+00:00,1277.795425,1716.1239500000001,572.571225,994.5381583333333,1009.288475,1870.95875,894.9967499999999,329.00964166666665,4666.664575,639.4241000000001,1509.1103333333333,15480.481383333336
2021-01-01 14:00:00+00:00,1264.0629166666668,1735.2627666666667,576.3907916666667,1016.9907499999999,994.7834666666666,1869.6013333333333,903.1164166666667,333.8267333333333,4766.007908333333,648.682675,1540.9417166666665,15649.667474999998
2021-01-01 15:00:00+00:00,1265.4292071428572,1770.1839357142858,588.8497,1062.0030142857142,1015.8017428571428,1880.419692857143,912.4719214285715,345.16240714285715,4889.510135714286,651.7926071428572,1602.327092857143,15983.95145714286
2021-01-01 16:00:00+00:00,1291.577057142857,1821.3078142857141,611.4261214285715,1086.3920714285714,1050.0185642857143,2024.5905,929.4485071428571,370.0024071428571,5054.804021428571,663.0146285714285,1634.0965214285714,16536.678214285716
2021-01-01 17:00:00+00:00,1333.55575,1841.3024750000002,624.3979416666667,1097.6436166666665,1071.9866083333334,2127.0407416666667,936.1117250000001,378.36508333333336,5142.133216666666,659.9361416666667,1648.23845,16860.71175
2021-01-01 18:00:00+00:00,1348.1527916666666,1839.7328916666665,627.0267,1113.1239083333332,1085.2392083333332,2167.036058333333,943.1536416666667,384.9402666666667,5198.767466666667,658.6334333333333,1660.0486416666665,17025.855008333332
2021-01-01 19:00:00+00:00,1360.9683833333333,1867.4289833333332,636.5296583333334,1132.57175,1125.3181583333333,2204.38675,940.0738833333334,383.31265,5231.393208333334,657.1031916666667,1677.5301083333334,17216.616725
2021-01-01 20:00:00+00:00,1414.4195285714286,1888.4625857142858,648.1833642857143,1159.5398071428572,1144.9564285714284,2289.1000357142857,962.9155499999999,400.16024285714286,5297.181335714286,660.6939928571428,1702.9035214285716,17568.516392857142
2021-01-01 21:00:00+00:00,1487.937025,1959.4320916666666,680.902775,1201.8387,1206.6588916666667,2444.2882,1004.0220083333334,413.9297166666667,5436.499225,677.0510333333333,1754.530325,18267.089991666668
2021-01-01 22:00:00+00:00,1560.0813583333331,2024.65475,715.3702833333333,1241.1804666666667,1257.5883166666667,2619.8381,1038.5723583333333,427.070725,5566.41205,695.0308833333333,1824.9006833333333,18970.699974999996
2021-01-01 23:00:00+00:00,1545.030775,2004.8882416666668,715.683175,1224.9118166666667,1254.5380166666666,2608.593875,1047.778225,432.27187499999997,5540.968191666667,678.8675916666667,1810.5003666666669,18864.03215
2021-01-02 00:00:00+00:00,1502.7955666666667,1982.5907083333334,707.0508666666666,1193.9616166666667,1222.7659083333333,2543.170908333333,1039.6689,429.16925833333335,5488.95,675.9504333333333,1782.5092916666665,18568.58345833333
2021-01-02 01:00:00+00:00,1458.8528749999998,1935.674725,689.998825,1158.9397999999999,1182.7877083333333,2474.4172750000002,1025.4772666666665,426.195625,5406.0899500000005,664.166175,1743.687425,18166.28765
2021-01-02 02:00:00+00:00,1401.4911416666666,1855.9302500000001,671.163575,1127.960425,1133.3696916666665,2374.9839166666666,993.7173166666666,400.2022416666667,5309.37805,648.9257666666666,1710.6020500000002,17627.724425
2021-01-02 03:00:00+00:00,1334.1917142857144,1776.1019857142858,637.6678714285715,1061.42925,1087.5287,2238.035707142857,957.9729214285715,364.2673642857143,5151.795307142857,638.3708642857143,1642.191342857143,16889.55302857143
2021-01-02 04:00:00+00:00,1256.6679583333332,1701.8225333333332,602.1591416666666,1002.38265,1020.4399083333333,2061.386625,896.7199166666666,336.8844916666667,4923.886533333333,631.1176416666666,1538.0084166666666,15971.475816666665
2021-01-02 05:00:00+00:00,1190.2519833333333,1655.8993916666666,567.8352833333333,965.0432666666667,952.8514333333333,1913.1692416666665,839.0592666666666,308.6797833333333,4684.652875,630.157925,1467.5569500000001,15175.157399999998
2021-01-02 06:00:00+00:00,1147.481875,1611.5261916666666,547.5414666666667,934.7732583333333,919.8335000000001,1799.2413999999999,805.2650666666667,285.075625,4526.273925,621.7504583333333,1439.0776833333332,14637.840450000002
2021-01-02 07:00:00+00:00,1120.363075,1587.0425500000001,528.2406666666667,909.9183166666667,897.9006583333334,1727.00035,783.891675,274.38366666666667,4389.859141666667,615.2132,1407.5145,14241.3278
2021-01-02 08:00:00+00:00,1118.4091083333333,1585.6825083333333,517.4621000000001,904.704975,886.3316500000001,1675.3533083333332,792.2720250000001,269.65614166666666,4303.038241666666,610.4036416666667,1396.6448583333333,14059.958558333332
2021-01-02 09:00:00+00:00,1133.5579416666667,1595.4137833333334,515.1298166666667,905.0416083333333,880.7167916666667,1666.2240416666666,789.5790083333333,271.9963916666667,4257.477191666667,612.9221249999999,1399.5314916666666,14027.590191666666
2021-01-02 10:00:00+00:00,1156.5050583333334,1590.844608333333,521.159625,922.342025,895.3293749999999,1683.1132416666667,806.2736083333334,275.371725,4290.161733333333,617.5539833333333,1418.3560333333335,14177.011016666667
2021-01-02 11:00:00+00:00,1198.7186416666666,1655.3311416666666,538.9261583333333,961.1043249999999,927.6666916666667,1743.6824166666665,848.6754166666666,284.4891333333333,4400.484366666667,623.4974166666667,1451.198775,14633.774483333333
2021-01-02 12:00:00+00:00,1241.8770666666667,1706.7624083333333,553.443675,1006.7911583333333,963.8497666666667,1813.870925,884.6164916666667,299.7633416666667,4554.54135,637.8571416666667,1498.5187916666666,15161.892116666668
2021-01-02 13:00:00+00:00,1290.0595416666667,1763.3479083333332,567.102775,1040.4060083333334,986.9938166666667,1902.7130333333334,878.8166249999999,308.6111916666667,4702.035758333333,655.9924083333334,1527.6456416666667,15623.724708333333
2021-01-02 14:00:00+00:00,1332.4898833333334,1813.4810166666666,572.0728666666666,1076.1369,1015.6488166666667,1913.260775,927.0202666666668,320.9798666666667,4809.274775,666.9744999999999,1585.9655083333334,16033.305175
2021-01-02 15:00:00+00:00,1372.4962916666666,1860.0014,585.3460249999999,1104.1557249999998,1017.4250833333332,1845.8040166666667,949.4455666666667,322.786125,4900.1516,667.161275,1605.5539166666667,16230.327024999999
2021-01-02 16:00:00+00:00,1387.2278,1904.5778416666665,600.4296,1115.1600166666667,985.8139833333333,1871.5308833333331,954.1965749999999,329.7607,4980.7405,663.2668916666667,1630.3752916666665,16423.08008333333
2021-01-02 17:00:00+00:00,1325.9693076923077,1908.3976538461538,594.7553692307692,1106.5174615384617,975.5399538461539,1855.8623153846154,957.2802076923077,327.4766769230769,5021.113453846154,659.155023076923,1633.9390153846155,16366.00643846154
